Tipo;Sexo;Opinião;Modelo;Outra;Razão;Renda;Anos;Gasto;Minutos;ID
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;1074,0;3;39,0;69;1
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;1491,0;4;50,2;66;2
Pós-pago;Masculino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;2778,0;7;80,8;68;3
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;4953,0;9;100,2;68;4
Pós-pago;Feminino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;2748,0;3;43,6;71;5
Pré-pago;Masculino;Excelente;Motorola;Mortinho;Maior cobertura;1924,0;5;59,0;65;6
Pré-pago;Masculino;Confiável;Motorola;Ferrocom;Maior cobertura;1773,0;4;49,0;75;7
Pós-pago;Masculino;Mediana;Siemens;Cumbuca;Maior cobertura;6552,0;5;63,8;78;8
Pré-pago;Feminino;Terrível;Gradiente;Ferrocom;Maior cobertura;3231,0;5;61,2;79;9
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;4419,0;5;64,4;72;10
Pré-pago;Masculino;Sofrível;Ericsson;Mortinho;Qualidade do sinal;4167,0;8;94,2;71;11
Pós-pago;Masculino;Excelente;Motorola;Ferrocom;Maior cobertura;8967,0;5;56,8;75;12
Pré-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;5142,0;7;75,8;64;13
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;2196,0;1;30,52;60;14
Pós-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;3885,0;6;69,0;77;15
Pós-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;2325,0;6;65,0;67;16
Pré-pago;Feminino;Mediana;Gradiente;Ferrocom;Maior cobertura;3657,0;1;30,52;80;17
Pós-pago;Masculino;Confiável;Motorola;Cumbuca;Qualidade do sinal;15087,0;1;30,52;91;18
Pós-pago;Masculino;Mediana;Siemens;Mortinho;Tarifa menor;12720,0;10;110,8;95;19
Pós-pago;Masculino;Excelente;Gradiente;Cumbuca;Maior cobertura;2021,9999999999998;6;66,0;64;20
Pré-pago;Feminino;Sofrível;Motorola;Nenhuma;Maior cobertura;1815,0;2;34,8;83;21
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;2517,0;4;54,8;81;22
