Tipo;Sexo;Opinião;Modelo;Outra;Razão;Renda;Anos;Gasto;Minutos
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;1,074;3;39;69
Pré-pago;Feminino;Mediana;Ericsson;Cum ;Ma ;1,491;4;50,2;66
Pós-pago;Masculino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;2,778;7;80,8;68
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;4,953;9;100,2;68
Pós-pago;Feminino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;2,748;3;43,6;71
Pré-pago;Masculino;Excelente;Motorola;Mortinho;Maior cobertura;1,924;5;59;65
Pré-pago;Masculino;Confiável;Motorola;Ferrocom;Maior cobertura;1,773;4;49; 
Pós-pago;Masculino;Mediana;Siemens;Cumbuca;Maior cobertura;6,552;5;63,8;78
Pré-pago;Feminino;Terrível;Gradiente;Ferrocom;Maior cobertura;3,231;5;61,2;79
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;4,419;5;64,4;72
Pré-pago;Masculino;Sofrível;Ericsson;Mortinho;Qualidade do sinal;4,167;8;94,2;71
Pós-pago;Masculino;Excelente;Motorola;Ferrocom;Maior cobertura;8,967;5;56,8;75
Pré-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;5,142;7;75,8;64
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;2,196;1;30,52;60
Pós-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;3,885;6;69;77
Pós-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;2,325;6;65;67
Pré-pago;Feminino;Mediana;Gradiente;Ferrocom;Maior cobertura;3,657;1;30,52;80
Pós-pa ;Masculino;Confiável;Motorola;Cumbuca;Qualidade do sinal;15,087;1;30,52;91
Pós-pago;Masculino;Mediana;Siemens;Mortinho;Tarifa menor;12,72;10;110,8;95
Pós-pago;Masculino;Excelente;Gradiente;Cumbuca;Maior cobertura;2,022;6;66;64
Pré-pago;Feminino;Sofrível;Motorola;Nenhuma;Maior cobertura;1,815;2;34,8;83
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;2,517;4;54,8;81
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;5,19;8;85,8;85
Pós-pago;Masculino;Sofrível;Motorola;Ferrocom;Tarifa menor;8,826;10;107,8;90
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;6,273;4;53,8;96
Pós-pago;Masculino;Terrível;Siemens;Mortinho;Tarifa menor;32,448;10;109;106
Pós-pago;Feminino;Excelente;Siemens;Nenhuma;Maior cobertura;2,46;6;69,8;79
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,974;3;43,2;50
Pós-pago;Masculino;Terrível;Motorola;Mortinho;Tarifa menor;13,449;8;89;108
Pré-pago;Masculino;Excelente;Ericsson;Cumbuca;Maior cobertura;2,904;5;61;74
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;13,728;6;67;105
Pré-pago;Feminino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;5,484;9;103,4;93
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,705;5;55,8;66
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;17,283;8;93,6;59
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;3,81;3;39,4;72
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Maior cobertura;1,089;8;89,6;52
Pré-pago;Masculino;Sofrível;Siemens;Mortinho;Tarifa menor;14,205;6;73,2;95
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;2,997;4;52,8;71
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;6,273;7;77,2;63
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;2,22;0;183,12;45
Pós-pago;Masculino;Confiável;Ericsson;Ferrocom;Maior cobertura;2,688;8;91,2;67
Pós-pago;Masculino;Sofrível;Siemens;Escuridão;Qualidade do sinal;1,608;7;76,4;66
Pós-pago;Feminino;Sofrível;Samsung;Ferrocom;Maior cobertura;4,593;5;59;82
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;21,012;10;107,2;95
Pós-pago;Masculino;Mediana;Gradiente;Cumbuca;Tarifa menor;7,95;5;61,8;89
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;13,542;6;66,8;95
Pré-pago;Masculino;Mediana;Samsung;Escuridão;Maior cobertura;1,047;4;52,2;71
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4,125;6;67,4;70
Pré-pago;Masculino;Mediana;Siemens;Ferrocom;Maior cobertura;3,51;5;57,8;66
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;6,108;6;70,6;63
 ;Feminino;Terrível;Gradiente;Escuridão;Maior cobertura;4,725;6;67,8;65
Pré-pago;Feminino;Terrível;Motorola;Cum ;Mai ;4,77;4;52;75
Pós-pago;Feminino;Sofrível;Motorola;Mortinho;Maior cobertura;6,609;4;54,4;78
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,522;3;37,2;49
Pré-pago;Masculino;Mediana;Ericsson;Escuridão;Maior cobertura;5,844;5;64,4;62
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;9,768;8;91,2;85
Pós-pago;Feminino;Mediana;Siemens;Nenhuma;Maior cobertura;7,32;6;73,2;91
Pós-pago;Masculino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;5,586;6;67,2;71
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,99;3;40,2;62
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Qualidade do sinal;3,402;3;41,8;88
Pós-pago;Masculino;Mediana;Motorola;Mortinho;Tarifa menor;12,366;11;115,4;78
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;5,049;2;34,2;57
Pós-pago;Masculino;Sofrível;Siemens;Cumbuca;Maior cobertura;1,329;2;31,8;56
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,513;0;30,52;68
Pós-pago;Masculino;Terrível;Samsung;Cumbuca;Tarifa menor;14,301;6;68;88
Pós-pago;Masculino;Sofrível;Motorola;Escuridão;Maior cobertura;7,32;8;85,4;63
Pré-pago;Feminino;Confiável;Ericsson;Nenhuma;Maior cobertura;1,71;5;58;58
Pós-pago;Masculino;Terrível;Sieme ;Nenhuma;Tarifa menor;20,4;11;121,6;113
Pré-pago;Feminino;Sofrível;Gradiente;Cumbuca;Maior cobertura;1,405;3;37,4;63
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;1,929;4;51,2;64
Pós-pago;Masculino;Mediana;Samsung;Mortinho;Qualidade do sinal;5,142;7;81,2;69
Pós-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;2,379;7;84,8;68
Pós-pago;Masculino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;13,356;6;70,8;84
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;2,046;6;71,2;59
Pré-pago;Feminino;Confiável;Motorola;Ferrocom;Maior cobertura;3,129;6;72;64
Pós-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;4,725;4;51,4;72
Pré-pago;Masculino;Excelente;Gradiente;Mortinho;Maior cobertura;2,406;4;46,8;82
Pré-pago;Masculino;Excelente;Gradiente;Cumbuca;Maior cobertura;1,548;5;56,8;63
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;8,214;6;73,4;94
Pós-pago;Masculino;Excelente;Motorola;Nenhuma;Qualidade do sinal;10,773;6;67,4;74
Pré-pago;Feminino;Mediana;Samsung;Mortinho;Maior cobertura;3,369;9;95,6;81
Pré-pago;Masculino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;7,758;5;59;94
Pré-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;2,934;5;60,4;76
Pré-pago;Masculino;Sofrível;Gradiente;Cumbuca;Maior cobertura;3,657;6;67,4;94
Pré-pago;Masculino;Mediana;Samsung;Ferrocom;Maior cobertura;2,574;4;54,2;72
Pré-pago;Feminino;Mediana;Gradiente;Nenhuma;Maior cobertura;2,544;5;56,2;69
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;1,411;2;30,52;56
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Qualidade do sinal;5,484;6;70;83
Pós-pago;Feminino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;4,332;7;78,2;75
Pré-pago;Masculino;Excelente;Gradiente;Escuridão;Maior cobertura;4,593;6;66;71
Pré-pago;Feminino;Mediana;Motorola;Escuridão;Maior cobertura;1,491;4;45,4;69
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1,381;3;44,4;50
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;2,022;5;64;65
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,426;6;138,4;44
Pós-pago;Masculino;Confiável;Motorola;Nenhuma;Qualidade do sinal;4,725;6;148;76
Pós-pago;Masculino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;7,821;5;64;84
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Qualidade do sinal;2,904;5;64;76
Pré-pago;Feminino;Confiável;Ericsson;Escuridão;Maior cobertura;1,555;3;42,4;50
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Tarifa menor;7,821;7;80,4;95
Pré-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;3,3;1;30,52;62
Pós-pago;Masculino;Terrível;Siemens;Ferrocom;Tarifa menor;11,427;4;45,8;97
Pré-pago;Feminino;Confiável;Gradiente;Ferrocom;Maior cobertura;1,138;1;30,52;35
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;13,635;8;90,6;105
Pré-pago;Feminino;Terrível;Motorola;Cumbuca;Maior cobertura;1,929;4;54,4;76
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;4,725;4;50,2;92
Pré-pago;Feminino;Confiável;Motorola;Escuridão;Maior cobertura;1,564;3;43;60
